id,pokemon,title,soldprice,date,link
3,Energy,Pokemon Water Energy #102/102 1st Edition Base Set PSA 10 1999 Shadowless,204.99,---12-days-ago,https://www.mavin.io/item/Pokemon-Water-Energy-%23102%2F102-1st-Edition-Base-Set-PSA-10-1999-Shadowless?itemId=224631510903&q=Energy%201999%20102%2F102%20Water
3,Energy,CGC 6.5 1999 Pokemon Card Water Energy 102/102 1st Edition Base Set a,21.15,---12-days-ago,https://www.mavin.io/item/CGC-6.5-1999-Pokemon-Card-Water-Energy-102%2F102-1st-Edition-Base-Set-a?itemId=154637791199&q=Energy%201999%20102%2F102%20Water
3,Energy,PSA 8 Water Energy 1999 Pokemon Base 1st Edition Shadowless 102/102 New Slab,36.0,---13-days-ago,https://www.mavin.io/item/PSA-8-Water-Energy-1999-Pokemon-Base-1st-Edition-Shadowless-102%2F102-New-Slab?itemId=174959985819&q=Energy%201999%20102%2F102%20Water
3,Energy,WATER ENERGY MISPRINT - POKEMON 1999 BASE SET CARD 102/102 ~ CGC 8.5 MINT+ PSA,31.77,---13-days-ago,https://www.mavin.io/item/WATER-ENERGY-MISPRINT-%3D-POKEMON-1999-BASE-SET-CARD-102%2F102-~-CGC-8.5-MINT%2B-PSA?itemId=363560436387&q=Energy%201999%20102%2F102%20Water
3,Energy,Water Energy 102/102 1999 Pokemon Base Set Unlimited PSA 9 Mint!,29.99,---18-days-ago,https://www.mavin.io/item/Water-Energy-102%2F102-1999-Pokemon-Base-Set-Unlimited-PSA-9-Mint%21?itemId=353691055862&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 1st edition base set pokemon NMINT Water Energy 102/102,15.89,---18-days-ago,https://www.mavin.io/item/1999-1st-edition-base-set-pokemon-NMINT-Water-Energy-102%2F102?itemId=255155042650&q=Energy%201999%20102%2F102%20Water
3,Energy,Pokemon Water Energy 102/102 1st Edition Base Set PSA 10 1999 Shadowless,204.9,---23-days-ago,https://www.mavin.io/item/Pokemon-Water-Energy-102%2F102-1st-Edition-Base-Set-PSA-10-1999-Shadowless?itemId=274969059815&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Game Base Set Water Energy #102 PSA 9 MINT - New Cert,33.99,---a-month-ago,https://www.mavin.io/item/1999-Pokemon-Game-Base-Set-Water-Energy-%23102-PSA-9-MINT-%3D-New-Cert?itemId=174942871999&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Water Energy Misty Trainer Deck B CGC 6.5 #102 102/102,53.3,---a-month-ago,https://www.mavin.io/item/1999-Pokemon-Water-Energy-Misty-Trainer-Deck-B-CGC-6.5-%23102-102%2F102?itemId=304146939407&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Water Energy Misty Trainer Deck B Psa 9 #102 102/102 Mint Fresh,91.0,---a-month-ago,https://www.mavin.io/item/1999-Pokemon-Water-Energy-Misty-Trainer-Deck-B-Psa-9-%23102-102%2F102-Mint-Fresh?itemId=255123292638&q=Energy%201999%20102%2F102%20Water
3,Energy,CGC 5.5 1999 Pokemon Card Water Energy 102/102 1st Edition Base Set a,26.15,---a-month-ago,https://www.mavin.io/item/CGC-5.5-1999-Pokemon-Card-Water-Energy-102%2F102-1st-Edition-Base-Set-a?itemId=154598081613&q=Energy%201999%20102%2F102%20Water
3,Energy,CGC 7.5 Near Mint 1999 Pokemon Card Water Energy 102/102 1st Edition Base Set a,26.15,---a-month-ago,https://www.mavin.io/item/CGC-7.5-Near-Mint-1999-Pokemon-Card-Water-Energy-102%2F102-1st-Edition-Base-Set-a?itemId=154596492237&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Card Water Energy 102/102 1st Edition Base Set,5.79,---2-months-ago,https://www.mavin.io/item/1999-Pokemon-Card-Water-Energy-102%2F102-1st-Edition-Base-Set?itemId=165040948509&q=Energy%201999%20102%2F102%20Water
3,Energy,WATER ENERGY Base TRAINER DECK B Misty’s Deck 102/102 1999 Test NM Pokemon Rare!,30.1,---2-months-ago,https://www.mavin.io/item/WATER-ENERGY-Base-TRAINER-DECK-B-Misty%E2%80%99s-Deck-102%2F102-1999-Test-NM-Pokemon-Rare%21?itemId=174914848845&q=Energy%201999%20102%2F102%20Water
3,Energy,Water Energy Base Set Misty's Trainer Deck B 102/102 1999 Test NM/M Pokemon,30.65,---2-months-ago,https://www.mavin.io/item/Water-Energy-Base-Set-Misty%27s-Trainer-Deck-B-102%2F102-1999-Test-NM%2FM-Pokemon?itemId=133866225998&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Game #102 Water Energy PSA 9 MINT,33.01,---2-months-ago,https://www.mavin.io/item/1999-Pokemon-Game-%23102-Water-Energy-PSA-9-MINT?itemId=373697702165&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Water Energy Misty Trainer Deck B Psa 9 #102 102/102 Mint Fresh,214.95,---2-months-ago,https://www.mavin.io/item/1999-Pokemon-Water-Energy-Misty-Trainer-Deck-B-Psa-9-%23102-102%2F102-Mint-Fresh?itemId=255104585836&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Game #102 Water Energy NM/Mint 1st Edition PSA 8 Fresh Grade!,75.15,---2-months-ago,https://www.mavin.io/item/1999-Pokemon-Game-%23102-Water-Energy-NM%2FMint-1st-Edition-PSA-8-Fresh-Grade%21?itemId=274832373515&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Game Water Energy Shadowless #102 PSA 9 MINT,35.0,---2-months-ago,https://www.mavin.io/item/1999-Pokemon-Game-Water-Energy-Shadowless-%23102-PSA-9-MINT?itemId=255040123216&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Game 'Water Energy' #102 [1st Edition] 102/102 PSA 9,129.99,---2-months-ago,https://www.mavin.io/item/1999-Pokemon-Game-%27Water-Energy%27-%23102-%5B1st-Edition%5D-102%2F102-PSA-9?itemId=303913315772&q=Energy%201999%20102%2F102%20Water
